gbifID	type	format	identifier	references	title	description	created	creator	contributor	publisher	audience	source	license	rightsHolder
912523952	StillImage	image/jpeg	http://www.kew.org/herbcatimg/295902.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912523925	StillImage	image/jpeg	http://www.kew.org/herbcatimg/295899.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912524018	StillImage	image/jpeg	http://www.kew.org/herbcatimg/296019.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912524093	StillImage	image/jpeg	http://www.kew.org/herbcatimg/296018.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912524045	StillImage	image/jpeg	http://www.kew.org/herbcatimg/296045.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912524118	StillImage	image/jpeg	http://www.kew.org/herbcatimg/296043.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912524042	StillImage	image/jpeg	http://www.kew.org/herbcatimg/296044.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912524111	StillImage	image/jpeg	http://www.kew.org/herbcatimg/296083.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912524091	StillImage	image/jpeg	http://www.kew.org/herbcatimg/296085.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912524143	StillImage	image/jpeg	http://www.kew.org/herbcatimg/296096.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912524133	StillImage	image/jpeg	http://www.kew.org/herbcatimg/296086.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912524112	StillImage	image/jpeg	http://www.kew.org/herbcatimg/296094.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912524125	StillImage	image/jpeg	http://www.kew.org/herbcatimg/296095.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912524179	StillImage	image/jpeg	http://www.kew.org/herbcatimg/296084.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912524114	StillImage	image/jpeg	http://www.kew.org/herbcatimg/296098.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
